"country","country_code","ageGroup","meanE","meanN","meanA","meanC","meanO","count"
"PT",620,"21-30",22.3142857142857,18.6,26.4857142857143,21.7142857142857,28.9714285714286,35
"PT",620,"31-100",21.695652173913,20.304347826087,29.304347826087,25.2173913043478,31.7391304347826,23
"RO",642,"13-20",16.18,16.9,25.24,19.8,28.5,50
"RO",642,"21-30",18.8620689655172,18.948275862069,27.0862068965517,25.5344827586207,30.6034482758621,58
"RO",642,"31-100",22.7777777777778,22.1111111111111,28,24.1851851851852,31.4074074074074,27
"RS",688,"13-20",21.0322580645161,17.0645161290323,23.8064516129032,19.7096774193548,29.8064516129032,31
"RS",688,"21-30",22.6923076923077,17.6923076923077,26.1153846153846,23,31.5,26
"RS",688,"31-100",22.6071428571429,19.8214285714286,27.6785714285714,26.3928571428571,32.0714285714286,28
"RU",643,"13-20",20.375,16.25,24.375,19.875,30.5,8
"RU",643,"21-30",18.7777777777778,16,23.6666666666667,19.3333333333333,29.1111111111111,9
"RU",643,"31-100",20.5,23.5,27,24.5,29.5,2
"SA",682,"13-20",19.625,17.25,29.25,23.8125,28.875,16
"SA",682,"21-30",18.1333333333333,19.4,27.6666666666667,20.5333333333333,27.7333333333333,15
"SA",682,"31-100",19.5,21.4166666666667,30.6666666666667,26.3333333333333,30.4166666666667,12
"SE",752,"13-20",19.7966101694915,18.0677966101695,26.5423728813559,20.0847457627119,28.1016949152542,59
"SE",752,"21-30",19.0847457627119,19.2033898305085,27.4576271186441,21.3389830508475,29.728813559322,59
"SE",752,"31-100",23.92,20.84,29,23.44,31.9,50
"SG",702,"13-20",15.9333333333333,17.2,27.5333333333333,20.5833333333333,27.2666666666667,60
"SG",702,"21-30",18.24,18.28,26.86,22.46,28.88,50
"SG",702,"31-100",16.8260869565217,19.9565217391304,28.7826086956522,26.695652173913,27.0869565217391,23
"SI",705,"13-20",14.7333333333333,19.5333333333333,24.8666666666667,20.6666666666667,30.7333333333333,15
"SI",705,"21-30",15.6923076923077,15.5384615384615,26.1538461538462,23.8461538461538,29.2307692307692,13
"SI",705,"31-100",19.5,23.3333333333333,26.5,29,30,6
"SK",703,"13-20",10.7272727272727,13.5454545454545,20.5454545454545,19,30.1818181818182,11
"SK",703,"21-30",18.6666666666667,21.6666666666667,27.1666666666667,18.5,30.6666666666667,6
"SK",703,"31-100",19.4,19.8,24.8,26,31.6,5
"TH",764,"13-20",14.5555555555556,18.1111111111111,23.4444444444444,17.7777777777778,25.2222222222222,9
"TH",764,"21-30",18.6666666666667,17.8333333333333,27.25,22.5,25.8333333333333,24
"TH",764,"31-100",18.4444444444444,21.7777777777778,29.4444444444444,26.7777777777778,29,9
"TR",792,"13-20",24.95,17.05,29,22.6,30.8,20
"TR",792,"21-30",22.0238095238095,18.3095238095238,28.4285714285714,23.5952380952381,29.4761904761905,42
"TR",792,"31-100",20.8571428571429,18.1428571428571,29.1428571428571,24.5714285714286,31.5714285714286,7
"TT",780,"13-20",19.5714285714286,14.4285714285714,27.8571428571429,22.5714285714286,28.2857142857143,7
"TT",780,"21-30",21.125,19.125,26.25,21.875,32.25,8
"TT",780,"31-100",19.7142857142857,19.1428571428571,25.2857142857143,27.1428571428571,32.5714285714286,7
"TW",158,"13-20",21.3333333333333,15.5,27,23.1666666666667,30.3333333333333,6
"TW",158,"21-30",18.2631578947368,17.9473684210526,30.1578947368421,25.5789473684211,25.3684210526316,19
"UA",804,"13-20",15.8,20,19.8,13.4,27.4,5
"UA",804,"21-30",22.6,18.4,26.2,22.6,30.6,5
"UA",804,"31-100",38,14.5,33.5,24,37,2
"UG",800,"13-20",17,26.6666666666667,24.6666666666667,22.3333333333333,25.6666666666667,3
"UG",800,"21-30",18.8,20.4,30.2,30.8,27.4,5
"UG",800,"31-100",18.3333333333333,18.3333333333333,34.3333333333333,30.6666666666667,29.3333333333333,3
"US",840,"13-20",19.6544704972945,18.5395516619428,28.0721463540325,22.5771708322597,28.9257923215666,3881
"US",840,"21-30",20.6077856843868,19.7727082461281,29.5826705734617,24.5918794474676,29.9845123482629,2389
"US",840,"31-100",21.2733578131375,21.2154222766218,30.2896776825785,26.3798449612403,29.8702570379437,2451
"VE",862,"13-20",12.375,14.25,25,17.75,28.75,8
"VE",862,"21-30",13.1666666666667,15.1666666666667,26.8333333333333,15.6666666666667,35.1666666666667,6
"VE",862,"31-100",24.6666666666667,21.3333333333333,33.6666666666667,23.6666666666667,30.6666666666667,3
"VN",704,"13-20",14.7857142857143,16.9285714285714,22.7142857142857,19.4285714285714,26.7857142857143,14
"VN",704,"21-30",18.1428571428571,20.7142857142857,28.1428571428571,22.8571428571429,30.5,14
"VN",704,"31-100",19.5,23,26.5,32.5,22.5,2
"ZA",710,"13-20",19.4827586206897,18.3793103448276,27.5172413793103,20.448275862069,32.0689655172414,29
"ZA",710,"21-30",21.3424657534247,21.0821917808219,30.2602739726027,24.6849315068493,29.7260273972603,73
"ZA",710,"31-100",20.4545454545455,20.1818181818182,30.1558441558442,26.2727272727273,30.3506493506494,77
